event,time_s,items,meshed,gen_ms,mesh_ms,total_or_frame_ms
upload,0.925,1,5.202
upload,0.931,1,0.916
upload,0.942,1,0.910
upload,0.951,1,0.815
upload,0.989,1,0.897
upload,0.999,1,0.934
upload,1.010,1,0.884
upload,1.019,1,0.867
upload,1.056,1,0.830
upload,1.066,1,0.894
upload,1.076,1,0.833
upload,1.085,1,0.814
upload,1.123,1,0.977
upload,1.133,1,0.877
upload,1.144,1,0.931
upload,1.153,1,0.813
upload,1.190,1,0.887
upload,1.199,1,0.817
upload,1.218,1,0.901
upload,1.255,1,0.877
upload,1.265,1,0.908
upload,1.274,1,0.913
upload,1.284,1,0.826
upload,1.321,1,0.906
upload,1.332,1,0.898
upload,1.342,1,0.879
upload,1.351,1,0.785
upload,1.416,1,0.880
upload,1.453,1,0.881
upload,1.481,1,0.839
upload,1.518,1,0.830
upload,1.528,1,0.844
upload,1.546,1,0.845
upload,1.601,1,0.836
upload,1.611,1,0.870
upload,1.667,1,0.892
upload,1.676,1,0.841
upload,1.686,1,0.777
upload,1.753,1,0.888
upload,1.789,1,0.874
upload,1.798,1,0.804
upload,1.817,1,0.885
upload,1.854,1,0.822
upload,1.863,1,0.822
upload,1.882,1,0.865
upload,1.937,1,0.820
upload,1.947,1,0.877
upload,1.993,1,0.870
upload,2.003,1,0.797
upload,2.013,1,0.848
upload,2.077,1,0.896
upload,2.141,1,0.854
upload,2.204,1,0.838
upload,2.269,1,0.912
upload,2.333,1,0.873
upload,2.397,1,0.883
upload,2.461,1,0.896
upload,2.499,1,0.876
upload,2.507,1,0.809
upload,2.527,1,0.884
upload,2.563,1,0.848
upload,2.591,1,0.839
upload,2.655,1,0.866
upload,2.720,1,0.906
upload,2.784,1,0.896
upload,2.823,1,1.015
upload,2.833,1,0.826
upload,2.851,1,0.849
upload,2.916,1,0.864
upload,2.980,1,0.880
job,2.988,4375,70,663.014,2079.791,2742.805
upload,3.805,1,1.095
upload,3.816,1,0.964
upload,3.825,1,0.839
upload,3.873,1,0.959
upload,3.883,1,0.914
upload,3.893,1,0.861
upload,3.939,1,0.925
upload,3.949,1,0.876
upload,3.958,1,0.866
upload,4.006,1,0.946
upload,4.017,1,0.968
upload,4.026,1,0.764
upload,4.071,1,0.832
upload,4.090,1,0.898
upload,4.136,1,0.901
upload,4.146,1,0.788
upload,4.156,1,0.822
upload,4.202,1,0.979
upload,4.212,1,0.857
upload,4.222,1,0.846
upload,4.286,1,0.871
upload,4.352,1,0.848
upload,4.397,1,0.843
upload,4.416,1,0.866
upload,4.470,1,0.963
upload,4.480,1,0.777
upload,4.526,1,0.855
